 Насос АКС станка 16К40
 Контактное/изоляционное кольцо на муфту У41.84 и щеткодержатели для электромагнитных муфт
 Износостойкие ролики для поверхностного упрочнения металлических изделий
 Конструкция и назначение люнета неподвижного токарно-винторезных станков модели 16К40
 Верхний суппорт в сборе токарно-винторезных станков 1М63,1.0М63Н,ДИП300
 Обработка мостика задней бабки станка 1М63Н на расточном станке,,,,,,,,,,,
 Захваты инструмента фрезерных станков 6Т13,ГФ2171,6.0Т82,6.0Р82,6.0Р82Ш,6Р12 и т.д.,,,,,,
 Запасные части для станков 1М63 1М63Н 163 ДИП300 1М63БФ101 16К40 (кронштейны крепления ручки переключения фрикциона).,,,,,,,,,,,
 Сверлильный блок для револьверных головок 16М30Ф3,,,,,,,,,,,
 Клинья для станков мод. 1М63,1.0М63Н,163,1М63БФ101,16.0000000,16.0000000.,,,,,,
 Диски фрикционные (6-ти и 8-ми шлицевые) для станков и промышленного оборудования,,,,,,,,,,,
 Конусная линейка 1Н983.44.000СБ (Для станков 1Н983,1.0М983,1.0А983, РТ983, СА983, и т.д.),,,,,,
 Изготовление пружин различных типов и конфигурации большие типоразмеры,,,,,,,,,,,
 Револьверная головка 1П756ДФ3.39.000СБ Для станков 1П756ДФ3,,,,,,,,,,,
 Вал-Шестерня перемещения венца токарного патрона (Для станков 1М65 1Н65 ДИП500 165 устанавливается в шпиндельную бабку),,,,,,,,,,,
 Винт кареточный (винт две гайки) (Для станков 1Н983,1.0М983,1.0А983, РТ983, СА983, и т.д.),,,,,,
 Шпиндель 16К40 (в заднюю бабку станков мод. 16К40),,,,,,,,,,,
 Валы шлицевые 2-ой 3-ей 4-ой 5-ой оси (Для станков 1М65 1Н65 ДИП500 165) шпиндельная бабка,,,,,,,,,,,
 Фрикционные диски для электромагнитных муфт ЭТМ 102 1А , ЭТМ 112к 2А и т.д.,,,,,,,,,,
 Рейка 16К20.011.432 L-348мм. токарно-винторезного станка мод. 16К20,,,,,,,,,,,
 Шкив главного привода 1К62.02.362 ( Для станков 1К62),,,,,,,,,,,
 Резцовый блок 16К30Ф302.42.000 (Для Револьверных головок 16К30Ф3.40.000),,,,,,,,,,,
 Маточная гайка для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101,16.0000000,1.0Н983,1.0А983,1.0М983, РТ983,1.0М65,1.0Н65,165, ДИП500.
 Люнет подвижный 1М63.11.000СБ ( Для станков 1М63,ДИП300,1.0М63Н,16.0000000,16.0000000),,,,,,,,,
 ШВП (Шарико-винтовая пара,передача) 16К30Ф3.18.000,16К30Ф3.55.000,,,,,,,,,,,
 ШВП Шарико винтовые пары, передачи1П756ДФ3.18.000 и 1П756ДФ3.55.000,,,,,,,,,,,,
 Изготовление ходовых винтов/валов для токарных станков,,,,,,,,,,,,,
 Ролики упрочняющий и сглаживающий для токарно накатных станков РТ30101 и РТ301,,,,,,,,,,,,,
 Комплектующие для люнетов башмаки ролики вилки,,,,,,,,,,,,,
 Вилка 1М63 02 072, 1М63 21 028, 1М63 21 029,,,,,,,,,,,
 Ножи к ножницам по металлу гильотин,,,,,,,,,,,,,
 Кулачки для токарных патронов ф. 1000мм. и 1250мм.,,,,,,,,,,,,,
 Ножи к гильотинам фирмы ERFURT Германия,,,,,,,,,,,,,
 Комплект роликов (в сборе) для неподвижного люнета станков 1М63Н,1.0М63,163, ДИП300, 1М63БФ101,,,,,,,,,
 Винты, кулачки для токарного патрона ф 1000мм. и 1250мм.,,,,,,,,,,,,
 Запасные части для фрезерных станков и станков с ЧПУ,,,,,,,,,,,,,
 Муфта электромагнитная Э11М 106-2А для станков 1Н983 1А983 1М983,,,,,,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) 16К20Т1.159.000/020 16К20Т1.158.000.000,,,,,,,,,,,,
 Револьверная головка 16К30Ф3.40.000 (Для станков 16К30Ф3),,,,,,,,,,,,,
 Револьверная головка 16М30Ф3.40.000 (Для станков 16М30Ф3),,,,,,,,,,,,,
 Револьверная головка 1П756ДФ3.39.000 (Для станков 1П756ДФ3),,,,,,,,,,,,,
 Гнездо 163.04.174, 1М63.04.173 (Для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101),,,,,,,,
 Маслоуказатели (глазки) для токарных, фрезерных, шлифовальных, сверлильных станков и промышленного оборудования.,,,,,,,,,,
 Изготовление пружин различных типов и конфигурации,,,,,,,,,,,,,
 Муфта Обгонная 1М63.06.900 (Для станков 163 ДИП300 1М63 1М63Н,,,,,,,,,,,,,
 Запасные части к токарным станкам,,,,,,,,,,,,,
 Шарико-винтовые пары (передачи) для станков с ЧПУ,,,,,,,,,,,,,
 Револьверные головки для станков с ЧПУ,,,,,,,,,,,,,
 Муфты обгонные для станков 1М63Н,1.0М63,163, ДИП300,1.0А64,1.0Н65,165,1.0М65,ДИП500,16.0000000,,,,
 Муфта обгонная 1Н65.60.900 (Для станков 165 ДИП500 1М65 1Н65),,,,,,,,,,,,,
 Скребки на направляющие (защита направляющих),,,,,,,,,,,,,
 Колесо червячное в сборе фартука станка 1М63Н,1.0М63,163,ДИП300,16.0000000,,,,,,,,,
 Револьверная головка 16К30Ф3.40.000СБ Для станков 16К30Ф3 и 16М30Ф3,,,,,,,,,,,,,
 Ножи для гильотины 1300х80х20,,,,,,,,,,,,,
 Шестерни 1М63Б.70.180 для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101,16.0000000,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) поперечного перемещения станка РТ950Ф3-6 (63х10мм),,,,,,,,,,,,
 Кронштейн и прижим конусной линейки 1Н983.44.000СБ (Для станков 1Н983,1.0М983,1.0А983, РТ983, СА983, и т.д.),,,,,,,,
 Пружины возврата шпинделя 2М112,2.0Л53,,,,,,,,,,,,
 Кронштейн перемещения задней бабки станков 1Н65,1.0М65,165,ДИП500,,,,,,,,,,
 Шпиндель 1Н65,1М65 (в заднюю бабку станков мод. 1Н65,1.0М65),,,,,,,,,,,
